FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120724;1900;;;176;
120724;2000;;;203,6;
120724;2100;;;205,7;
120724;2200;;;87,7;
120724;2300;;;31,02;
120725;0000;;;17,53;
120725;0100;;;10,79;
120725;0200;;;10,79;
120725;0300;;;14,84;
120725;0400;;;10,79;
120725;0500;;;16,19;
120725;0600;;;12,81;
120725;0700;;;16,86;
120725;0800;;;21,58;
120725;0900;;;23,61;
120725;1000;;;23,61;
120725;1100;;;32,04;
120725;1200;;;37,1;
120725;1300;;;24,28;
120725;1400;;;23,6;
120725;1500;;;22,25;
120725;1600;;;1000;
120725;1700;;;28,99;
120725;1800;;;116,6;
120725;1900;;;125,4;
120725;2000;;;119,4;
120725;2100;;;184,8;
120725;2200;;;207,7;
120725;2300;;;271,1;
120726;0000;;;313;
120726;0100;;;147,7;
120726;0200;;;116,7;
120726;0300;;;122,7;
120726;0400;;;130,2;
120726;0500;;;70,1399;
120726;0600;;;116;
120726;0700;;;108,6;
120726;0800;;;151;
120726;0900;;;42,48;
120726;1000;;;25,28;
120726;1100;;;20,23;
120726;1200;;;20,9;
120726;1300;;;19,55;
120726;1400;;;19,55;
120726;1500;;;22,92;
120726;1600;;;24,95;
120726;1700;;;42,47;
120726;1800;;;80,2;
120726;1900;;;93;
120726;2000;;;101,8;
120726;2100;;;83;
120726;2200;;;132,9;
120726;2300;;;120,7;
120727;0000;;;143;
120727;0100;;;170;
120727;0200;;;143;
120727;0300;;;122,8;
120727;0400;;;90,3999;
120727;0500;;;16,19;
120727;0600;;;14,16;
120727;0700;;;12,14;
120727;0800;;;19,55;
120727;0900;;;22,25;
120727;1000;;;18,2;
120727;1100;;;26,97;
120727;1200;;;28,99;
120727;1300;;;30,34;
120727;1400;;;24,27;
120727;1500;;;32,35;
120727;1600;;;28,31;
120727;1700;;;43,15;
120727;1800;;;62,03;
120727;1900;;;172,6;
120727;2000;;;94,3999;
120727;2100;;;109,9;
120727;2200;;;124,1;
120727;2300;;;207,7;
120728;0000;;;265,1;
120728;0100;;;151,8;
120728;0200;;;203,1;
120728;0300;;;243,5;
120728;0400;;;24,29;
120728;0500;;;22,94;
120728;0600;;;19,56;
120728;0700;;;18,89;
120728;0800;;;24,29;
120728;0900;;;31,03;
120728;1000;;;31,7;
120728;1100;;;18,21;
120728;1200;;;18,88;
120728;1300;;;22,92;
120728;1400;;;20,22;
120728;1500;;;12,8;
120728;1600;;;12,8;
120728;1700;;;11,45;
120728;1800;;;27,62;
120728;1900;;;78,83;
120728;2000;;;110,5;
120728;2100;;;78,85;
120728;2200;;;24,94;
120728;2300;;;26,29;
120729;0000;;;18,2;
120729;0100;;;10,11;
120729;0200;;;14,83;
120729;0300;;;6,743;
120729;0400;;;5,395;
120729;0500;;;5,395;
120729;0600;;;8,09;
120729;0700;;;9,09998;
120729;0800;;;7,419;
120729;0900;;;6,744;
120729;1000;;;10,79;
120729;1100;;;13,49;
120729;1200;;;17,53;
120729;1300;;;13,48;
120729;1400;;;14,15;
120729;1500;;;14,15;
120729;1600;;;13,47;
120729;1700;;;23,58;
120729;1800;;;58,62;
120729;1900;;;100,4;
120729;2000;;;187,4;
120729;2100;;;546,6;
120729;2200;;;599,398;
120729;2300;;;634,5;
120730;0000;;;27,65;
120730;0100;;;21,58;
120730;0200;;;15,51;
120730;0300;;;13,49;
120730;0400;;;12,14;
120730;0500;;;10,79;
120730;0600;;;12,82;
120730;0700;;;16,19;
120730;0800;;;20,24;
120730;0900;;;26,65;
120730;1000;;;26,98;
120730;1100;;;31,7;
120730;1200;;;55,3;
120730;1300;;;72,1399;
120730;1400;;;95,1;
120730;1500;;;105,1;
120730;1600;;;148,9;
120730;1700;;;79,5099;
120730;1800;;;118,6;
120730;1900;;;427,2;
120730;2000;;;173,9;
120730;2100;;;153;
120730;2200;;;109,2;
120730;2300;;;60;
120731;0000;;;57,98;
120731;0100;;;48,55;
120731;0200;;;29,67;
120731;0300;;;25,62;
120731;0400;;;24,27;
120731;0500;;;31,02;
120731;0600;;;31,69;
120731;0700;;;39,78;
120731;0800;;;41,81;
120731;0900;;;43,15;
120731;1000;;;46,52;
120731;1100;;;38,42;
120731;1200;;;31,34;
120731;1300;;;27,62;
120731;1400;;;25,94;
120731;1500;;;33;
120731;1600;;;28,28;
120731;1700;;;53,87;
120731;1800;;;145,5;
120731;1900;;;180,5;
120731;2000;;;267,5;
120731;2100;;;193,4;
120731;2200;;;97;
120731;2300;;;89;
120801;0000;;;76,1598;
120801;0100;;;28,98;
120801;0200;;;26,96;
120801;0300;;;31,68;
120801;0400;;;31;
120801;0500;;;22,24;
120801;0600;;;24,26;
120801;0700;;;22,91;
120801;0800;;;39,7599;
120801;0900;;;35,72;
120801;1000;;;47,18;
120801;1100;;;53,24;
120801;1200;;;26,28;
120801;1300;;;37,4;
120801;1400;;;19,2;
120801;1500;;;27,62;
120801;1600;;;44,46;
120801;1700;;;30,99;
120801;1800;;;41,77;
120801;1900;;;45,14;
120801;2000;;;35,04;
120801;2100;;;38,41;
120801;2200;;;33,7;
120801;2300;;;25,61;
120802;0000;;;19,21;
120802;0100;;;12,13;
120802;0200;;;12,13;
120802;0300;;;9,43999;
120802;0400;;;6,74;
120802;0500;;;3,37;
120802;0600;;;6,74;
120802;0700;;;13,82;
120802;0800;;;25,27;
120802;0900;;;27,3;
120802;1000;;;26,28;
120802;1100;;;26,96;
120802;1200;;;12,8;
120802;1300;;;15,5;
120802;1400;;;15,5;
120802;1500;;;12,8;
120802;1600;;;28,3;
120802;1700;;;20,89;
120802;1800;;;27,62;
120802;1900;;;35,71;
120802;2000;;;26,28;
120802;2100;;;11,46;
120802;2200;;;58,6299;
120802;2300;;;116,6;
120803;0000;;;111,2;
120803;0100;;;130,7;
120803;0200;;;87,6;
120803;0300;;;60,66;
120803;0400;;;33,7;
120803;0500;;;34,37;
